Pe mi1 mi2 mi3
1.000000000000000082e-05 4.688404291933284673e-01 8.811152654624003766e-01 9.998194767169819031e-01
1.010989898989899001e-02 4.126006501451672248e-01 8.046573546587840742e-01 9.184791813625665657e-01
2.020979797979798043e-02 3.756272990146880542e-01 7.483323941673030166e-01 8.573831170667348678e-01
3.030969696969696911e-02 3.455062901704620271e-01 6.996673151280545788e-01 8.040573968840223351e-01
4.040959595959596473e-02 3.196204349849546267e-01 6.559938562969713782e-01 7.558329700991964772e-01
5.050949494949495688e-02 2.967479489392849112e-01 6.160456175626317643e-01 7.114426747771294135e-01
6.060939393939394210e-02 2.761830816868521277e-01 5.790775723778051054e-01 6.701407492792623710e-01
7.070929292929292731e-02 2.574691233392295553e-01 5.445982006408586207e-01 6.314349642786527550e-01
8.080919191919191946e-02 2.402884447597741779e-01 5.122588365944806821e-01 5.949759698381469342e-01
9.090909090909091161e-02 2.244087719348782373e-01 4.817993872712154069e-01 5.605030130784867115e-01
1.010089898989899038e-01 2.096538195508385882e-01 4.530185146131594509e-01 5.278141195612076064e-01
1.111088888888888959e-01 1.958859007155289988e-01 4.257558748088959844e-01 4.967483319270883935e-01
1.212087878787878742e-01 1.829949880568256249e-01 3.998808727039953048e-01 4.671744636443383447e-01
1.313086868686868802e-01 1.708914999845813909e-01 3.752851919833405381e-01 4.389836285627864987e-01
1.414085858585858724e-01 1.595013589680747135e-01 3.518776379903396090e-01 4.120840831372838409e-01
1.515084848484848645e-01 1.487624983826931202e-01 3.295804620266232776e-01 3.863975501621934594e-01
1.616083838383838567e-01 1.386223274642172099e-01 3.083266706538221325e-01 3.618565275369621248e-01
1.717082828282828488e-01 1.290358498815484534e-01 2.880580107663786027e-01 3.384022728302364391e-01
1.818081818181818410e-01 1.199642401539463832e-01 2.687234308901436108e-01 3.159832640958854522e-01
1.919080808080808331e-01 1.113737482001559975e-01 2.502778859693980396e-01 2.945540042022727900e-01
2.020079797979798253e-01 1.032348438084266240e-01 2.326813949863318076e-01 2.740740780176101898e-01
2.121078787878788174e-01 9.552153965497152399e-02 2.158982880498383494e-01 2.545073990871211111e-01
2.222077777777778096e-01 8.821084930162469140e-02 1.998965977525819504e-01 2.358216005999257403e-01
2.323076767676768017e-01 8.128234868207447061e-02 1.846475619596756046e-01 2.179875378080048942e-01
2.424075757575757661e-01 7.471781794715905145e-02 1.701252137825850497e-01 2.009788776499500385e-01
2.525074747474747583e-01 6.850094643282512996e-02 1.563060405700552602e-01 1.847717574104391913e-01
2.626073737373737504e-01 6.261708773624294344e-02 1.431686981201518161e-01 1.693444986187424006e-01
2.727072727272727426e-01 5.705305495526549059e-02 1.306937695101915708e-01 1.546773655822886728e-01
2.828071717171717347e-01 5.179694840875412321e-02 1.188635603048181916e-01 1.407523603148579938e-01
2.929070707070707269e-01 4.683800984336654316e-02 1.076619236742002578e-01 1.275530473907359463e-01
3.030069696969697191e-01 4.216649840646613523e-02 9.707411029793060198e-02 1.150644035998098780e-01
3.131068686868687112e-01 3.777358463658180704e-02 8.708663896007978744e-02 1.032726883085001712e-01
3.232067676767677034e-01 3.365125947137979218e-02 7.768718453816814140e-02 9.216533122877279549e-02
3.333066666666666955e-01 2.979225585495482581e-02 6.886448071182385555e-02 8.173083492052007903e-02
3.434065656565656877e-01 2.618998098246737294e-02 6.060823520798420960e-02 7.195868984371775468e-02
3.535064646464646798e-01 2.283845758073402288e-02 5.290905578977216084e-02 6.283930016707992006e-02
3.636063636363636720e-01 1.973227291061533870e-02 4.575838550880688416e-02 5.436391885258132217e-02
3.737062626262626641e-01 1.686653440750755448e-02 3.914844599298113181e-02 4.652459078753284905e-02
3.838061616161616563e-01 1.423683106252267988e-02 3.307218774683934326e-02 3.931410294101528313e-02
3.939060606060606484e-01 1.183919979850567294e-02 2.752324660958417601e-02 3.272594068940373746e-02
4.040059595959596406e-01 9.670096219279430971e-03 2.249590565419790078e-02 2.675424959419289705e-02
4.141058585858586327e-01 7.726369213011084758e-03 1.798506192613663623e-02 2.139380203033790229e-02
4.242057575757576249e-01 6.005238975829465392e-03 1.398619751626545976e-02 1.663996815955157138e-02
4.343056565656566170e-01 4.504278093198310629e-03 1.049535454381327060e-02 1.248869082413993359e-02
4.444055555555556092e-01 3.221395376872080579e-03 7.509113694124963656e-03 8.936464005969479985e-03
4.545054545454546013e-01 2.154822206650714583e-03 5.024576015192034478e-03 5.980314554395710358e-03
4.646053535353535935e-01 1.303101170444900467e-03 3.039347728306558694e-03 3.617786938356702675e-03
4.747052525252525856e-01 6.650768347424397889e-04 1.551527853238874113e-03 1.846930822921394322e-03
4.848051515151515223e-01 2.398885116799043433e-04 5.596984884294990692e-04 6.662913106804356500e-04
4.949050505050505144e-01 2.696491951240630180e-05 6.291762286124782944e-05 7.490172457537240536e-05
5.050049494949494511e-01 2.602066124396612903e-05 6.071438953305762637e-05 7.227884202735436470e-05
5.151048484848484987e-01 2.370544722347079324e-04 5.530867015663722130e-04 6.584205213590460515e-04
5.252047474747474354e-01 6.603492124467496074e-04 1.540501241741293326e-03 1.833805691288215023e-03
5.353046464646464830e-01 1.296473603217301873e-03 3.023895805333253611e-03 3.599396703361630590e-03
5.454045454545454197e-01 2.146285732687559442e-03 5.004684025192267238e-03 5.956644076294925760e-03
5.555044444444444673e-01 3.210938378836672089e-03 7.484762537763409163e-03 8.907493690948523057e-03
5.656043434343434040e-01 4.491886225128716506e-03 1.046652067984212703e-02 1.245439652579639900e-02
5.757042424242424516e-01 5.990895071707469377e-03 1.395285283908930668e-02 1.660032105598302499e-02
5.858041414141413883e-01 7.710053175663315189e-03 1.794717361747877327e-02 2.134876847524233567e-02
5.959040404040404360e-01 9.651784887944693525e-03 2.245343600689932856e-02 2.670379094001174014e-02
6.060039393939393726e-01 1.181886679304726406e-02 2.747615282113650970e-02 3.267001308010708538e-02
6.161038383838384203e-01 1.421444660183188852e-02 3.302042167976854820e-02 3.925265707164540818e-02
6.262037373737373569e-01 1.684206509915789005e-02 3.909195389862572811e-02 4.645757162704752807e-02
6.363036363636364046e-01 1.970568150823653886e-02 4.569710771037337194e-02 5.429126532587841281e-02
6.464035353535353412e-01 2.280970270489001556e-02 5.284292631976370003e-02 6.276094479129548653e-02
6.565034343434342778e-01 2.615901679998341306e-02 6.053718139416687516e-02 7.187455831296143960e-02
6.666033333333333255e-01 2.975903171064885402e-02 6.878842270477233956e-02 8.164084563208759415e-02
6.767032323232322621e-01 3.361571946492074303e-02 7.760603477207952960e-02 9.206939474251868427e-02
6.868031313131313098e-01 3.773566713571876313e-02 8.700030153689665424e-02 1.031707067294117264e-01
6.969030303030302465e-01 4.212613548602429231e-02 9.698248028279753130e-02 1.149562698718009091e-01
7.070029292929292941e-01 4.679512663712928622e-02 1.075648862877812972e-01 1.274386444871871971e-01
7.171028282828282308e-01 5.175146235848835513e-02 1.187609899949076536e-01 1.406315603083297672e-01
7.272027272727272784e-01 5.700487493755945073e-02 1.305855288811655079e-01 1.545500285719505762e-01
7.373026262626262151e-01 6.256611304324610767e-02 1.430546366939022818e-01 1.692104714891565220e-01
7.474025252525252627e-01 6.844706557714075323e-02 1.561859933458007443e-01 1.846308723890880688e-01
7.575024242424241994e-01 7.466090725357196756e-02 1.699989995549216482e-01 2.008309506228650454e-01
7.676023232323232470e-01 8.122227061894990441e-02 1.845149813438086428e-01 2.178323663424333589e-01
7.777022222222221837e-01 8.814745049181831049e-02 1.997574308520199682e-01 2.356589616093073269e-01
