# SNRdB M2 M4 M8 M16 M32 M64
0.000000000000000000e+00 7.864960352514258068e-02 1.976584713245767844e-01 2.209727110743239520e-01 2.058019609010544038e-01 1.819224384525823246e-01 1.590530272991824978e-01
1.000000000000000000e+00 5.628195197654146942e-02 1.792258534468164632e-01 2.126674415541869312e-01 2.023479442223712621e-01 1.804826131625341390e-01 1.584421344899207551e-01
2.000000000000000000e+00 3.750612835892597891e-02 1.597152987684180014e-01 2.034773332409468838e-01 1.984857545317236516e-01 1.788684844437324895e-01 1.577568479971195869e-01
3.000000000000000000e+00 2.287840756108532048e-02 1.393727138002233135e-01 1.933446158340317300e-01 1.941709930968475994e-01 1.770593522231513062e-01 1.569881508103477818e-01
4.000000000000000000e+00 1.250081804073755083e-02 1.185610383718666561e-01 1.822230585767624644e-01 1.893560176931960437e-01 1.750322235547659144e-01 1.561259505523702185e-01
5.000000000000000000e+00 5.953867147778662411e-03 9.777132608456771956e-02 1.700855044751041489e-01 1.839904006735845199e-01 1.727616277944848122e-01 1.551589584960239854e-01
6.000000000000000000e+00 2.388290780932807080e-03 7.761730718069999313e-02 1.569337762736116859e-01 1.780217625572257378e-01 1.702194475112494831e-01 1.540745580162061756e-01
7.000000000000000000e+00 7.726748153784445544e-04 5.880272019542757966e-02 1.428111493747406813e-01 1.713971344796955121e-01 1.673747821708654049e-01 1.528586629010937337e-01
8.000000000000000000e+00 1.909077740759931440e-04 4.205173940119479731e-02 1.278171886036856275e-01 1.640650482288239231e-01 1.641938694242615904e-01 1.514955666910509091e-01
9.000000000000000000e+00 3.362722841961750519e-05 2.800028457385568548e-02 1.121239860377973713e-01 1.559786022439812736e-01 1.606400995424223654e-01 1.499677853235799885e-01
1.000000000000000000e+01 3.872108215522035298e-06 1.706259896113439603e-02 9.599157924376072737e-02 1.470997980535217187e-01 1.566741730385080023e-01 1.482558969876388300e-01
1.100000000000000000e+01 2.613067953575199241e-07 9.311260015582563040e-03 7.977851070478791939e-02 1.374054677981926265e-01 1.522544707825194132e-01 1.463383854352214575e-01
1.200000000000000000e+01 9.006010350628753749e-09 4.427749401491453719e-03 6.394129343734988868e-02 1.268950894819828867e-01 1.473377308964491927e-01 1.441914963388652438e-01
1.300000000000000000e+01 1.332931017530050646e-10 1.772607638320483105e-03 4.901468788818843375e-02 1.156006615807748106e-01 1.418801580378994676e-01 1.417891209889930171e-01
1.400000000000000000e+01 6.810189128780772155e-13 5.720664128214052960e-04 3.556473511198469245e-02 1.035985051794025696e-01 1.358391280213288310e-01 1.391027281749713240e-01
1.500000000000000000e+01 9.123957362628104836e-16 1.409041429560622353e-04 2.411088985836861223e-02 9.102227610679065883e-02 1.291756917295156515e-01 1.361013740963642471e-01
1.600000000000000000e+01 2.267395844454418049e-19 2.472273824387627970e-05 1.502478874662072951e-02 7.807549054094722885e-02 1.218581206413796858e-01 1.327518323419423218e-01
1.700000000000000000e+01 6.758969770654687010e-24 2.832849142803514059e-06 8.430873636203624691e-03 6.504043718864158108e-02 1.138667588132440400e-01 1.290189021811823655e-01
1.800000000000000000e+01 1.396014310906752619e-29 1.899980792016533459e-07 4.151041739807155052e-03 5.227859401098712555e-02 1.052004282560689702e-01 1.248659744445107106e-01
1.900000000000000000e+01 1.001073973570861248e-36 6.497754097737989300e-09 1.735756083988618768e-03 4.021612085609040793e-02 9.588453499439722472e-02 1.202559606604678838e-01
2.000000000000000000e+01 1.044243791881272283e-45 9.523607210515712511e-11 5.915674182985240564e-04 2.930786253072667838e-02 8.598077843312226798e-02 1.151527226301018308e-01
2.100000000000000000e+01 5.299697228870345920e-57 4.806413252231712666e-13 1.560227416264989189e-04 1.997650520363168300e-02 7.559789179296140527e-02 1.095231743103186467e-01
2.200000000000000000e+01 3.296088119284474207e-71 6.340662660424150476e-16 2.983047596070660518e-05 1.253209290848179315e-02 6.490204414951453171e-02 1.033402605251156209e-01
2.300000000000000000e+01 4.427638498434776539e-89 1.545369229601803295e-19 3.807633056147702883e-06 7.091054670335760271e-03 5.412436419923499775e-02 9.658703659946689390e-02
2.400000000000000000e+01 1.444419065772612868e-111 4.495243535698998946e-24 2.924857810886655981e-07 3.527912962029285462e-03 4.356159928999885078e-02 8.926205901219931571e-02
2.500000000000000000e+01 7.306969184647900436e-140 9.002819120736984793e-30 1.186396746134303173e-08 1.494532922815670038e-03 3.356462653558218295e-02 8.138621496637767072e-02
2.600000000000000000e+01 1.795163227120089849e-175 6.210208163290996712e-37 2.155302711183425452e-10 5.177329296973243568e-04 2.450935792636814783e-02 7.301091529826599091e-02
2.700000000000000000e+01 2.735979965668846528e-220 6.169236010417252195e-46 1.425144240368339799e-12 1.393718485172384101e-04 1.674711180060727347e-02 6.422717861083017399e-02
2.800000000000000000e+01 1.068460737556355705e-276 2.944277051945144971e-57 2.641434221100654667e-15 2.734026395738841988e-05 1.053843849901996838e-02 5.517446670623717825e-02
2.900000000000000000e+01 0.000000000000000000e+00 1.694771811860888700e-71 9.876507737383393033e-19 3.604236649567565444e-06 5.985804965528108805e-03 4.604714762534087985e-02
3.000000000000000000e+01 0.000000000000000000e+00 2.065218088954616615e-89 4.923633636673713512e-23 2.883252054974694497e-07 2.992266902884480658e-03 3.709524051643951076e-02
3.100000000000000000e+01 0.000000000000000000e+00 5.959519550680182665e-112 1.942791533687999714e-28 1.230743587802888743e-08 1.275197533882141236e-03 2.861498810132814818e-02
3.200000000000000000e+01 0.000000000000000000e+00 2.583362687741673967e-140 3.147069013894687562e-35 2.384099248109229353e-10 4.450626500356913732e-04 2.092461802236864413e-02
3.300000000000000000e+01 0.000000000000000000e+00 5.225359831276799213e-176 9.157242800107818447e-44 1.709052474339934800e-12 1.209366659653045046e-04 1.432272458410215922e-02
3.400000000000000000e+01 0.000000000000000000e+00 6.234862639616885036e-221 1.690756473051445168e-54 3.506600771165226920e-15 2.400446286867764740e-05 9.032459414762515626e-03
3.500000000000000000e+01 0.000000000000000000e+00 1.789167736836086000e-277 5.344517404046949166e-68 1.490115277231277130e-18 3.211574706404062062e-06 5.144318478472217730e-03
3.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.558725742168552580e-85 8.726719284354837686e-23 2.617292228633744746e-07 2.580315113057858340e-03
3.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.385284546834813824e-106 4.217391619247603333e-28 1.143615367737565071e-08 1.104293396527441856e-03
3.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.092941845718247175e-133 8.817978010478587284e-35 2.281375847309611814e-10 3.874591400358445652e-04
3.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.511205067720119944e-167 3.538081493973061191e-43 1.697009597918775236e-12 1.059849738081150989e-04
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.175088420218354504e-209 9.789281399912702706e-54 3.647729031515342624e-15 2.121268519040795145e-05
