# SNRdB M2 M4 M8 M16 M32 M64
0.000000000000000000e+00 7.864960352514258068e-02 1.586552539314570742e-01 1.961241417457676439e-01 1.956563376694652190e-01 1.779505350473568892e-01 1.574462434879392025e-01
1.000000000000000000e+00 5.628195197654146942e-02 1.309272967555245581e-01 1.812323169204980156e-01 1.892230969402016183e-01 1.752805399074587600e-01 1.563233297080762751e-01
2.000000000000000000e+00 3.750612835892597891e-02 1.040286370853886755e-01 1.652218455939813424e-01 1.820845881438903080e-01 1.722931424562557101e-01 1.550642845758694877e-01
3.000000000000000000e+00 2.287840756108532048e-02 7.889587198172443028e-02 1.481977592937352151e-01 1.741862283500236197e-01 1.689530358361364670e-01 1.536528615928056951e-01
4.000000000000000000e+00 1.250081804073755083e-02 5.649530174936166771e-02 1.303457145828458563e-01 1.654786973427901930e-01 1.652219878091920058e-01 1.520709812940044536e-01
5.000000000000000000e+00 5.953867147778662411e-03 3.767898814746342695e-02 1.119499257825903732e-01 1.559227156347995358e-01 1.610590319301759832e-01 1.502985686282911626e-01
6.000000000000000000e+00 2.388290780932807080e-03 2.300713887786602629e-02 9.340623276942687514e-02 1.454955533290205050e-01 1.564208911796605705e-01 1.483133952107609232e-01
7.000000000000000000e+00 7.726748153784445544e-04 1.258703312214463389e-02 7.522348535557106530e-02 1.341995789712843445e-01 1.512627359199300858e-01 1.460909368798514463e-01
8.000000000000000000e+00 1.909077740759931440e-04 6.004386400163564189e-03 5.800418079312360392e-02 1.220730095446070917e-01 1.455394113785939414e-01 1.436042620469421827e-01
9.000000000000000000e+00 3.362722841961750519e-05 2.413310419633866825e-03 4.239494117398187600e-02 1.092026746056506681e-01 1.392073092235712184e-01 1.408239733504643987e-01
1.000000000000000000e+01 3.872108215522035298e-06 7.827011290012762541e-04 2.900167376467047489e-02 9.573794637328383872e-02 1.322271002610766466e-01 1.377182347583771616e-01
1.100000000000000000e+01 2.613067953575199241e-07 1.939854720578610423e-04 1.827602260486584432e-02 8.190389663535610487e-02 1.245675835051908570e-01 1.342529292697742238e-01
1.200000000000000000e+01 9.006010350628753749e-09 3.430262386641540104e-05 1.039927029559547036e-02 6.801017040004556091e-02 1.162109257100414350e-01 1.303920095965297454e-01
1.300000000000000000e+01 1.332931017530050646e-10 3.969248396342844052e-06 5.210120173002086991e-03 5.445018116470209946e-02 1.071595373103782778e-01 1.260981264572258731e-01
1.400000000000000000e+01 6.810189128780772155e-13 2.695148117366724597e-07 2.226559043347390264e-03 4.168366096699294143e-02 9.744470971010348037e-02 1.213336468455663564e-01
1.500000000000000000e+01 9.123957362628104836e-16 9.361039990685142044e-09 7.798167456983063966e-04 3.019570278834950855e-02 8.713685600129197906e-02 1.160622073912401242e-01
1.600000000000000000e+01 2.267395844454418049e-19 1.399027809397687911e-10 2.128280645089451447e-04 2.042933623781141919e-02 7.635666183193010048e-02 1.102509833174883519e-01
1.700000000000000000e+01 6.758969770654687010e-24 7.235975708536650710e-13 4.247637432720295349e-05 1.269844153456300972e-02 6.528557226632362986e-02 1.038738854323424804e-01
