# SNRdB M4 M16 M64 M256
0.000000000000000000e+00 1.586552539314570742e-01 2.455203172569663528e-01 2.412839760807908018e-01 2.141312486866076004e-01
1.000000000000000000e+00 1.309272967555245026e-01 2.309328530363095600e-01 2.352515772883333189e-01 2.116726458650018128e-01
2.000000000000000000e+00 1.040286370853886755e-01 2.150358956860823345e-01 2.285299706715517576e-01 2.089187790283795476e-01
3.000000000000000000e+00 7.889587198172443028e-02 1.978421289421994911e-01 2.210538706254450980e-01 2.058355591933118400e-01
4.000000000000000000e+00 5.649530174936166771e-02 1.794215330757539528e-01 2.127573894946922783e-01 2.023855276020192773e-01
5.000000000000000000e+00 3.767898814746339226e-02 1.599210137682152699e-01 2.035767038545897856e-01 1.985277625623207698e-01
6.000000000000000000e+00 2.300713887786601589e-02 1.395853631125417715e-01 1.934539563979588150e-01 1.942179001432239038e-01
7.000000000000000000e+00 1.258703312214462175e-02 1.187762391071984641e-01 1.823427628967899672e-01 1.894083297267107058e-01
8.000000000000000000e+00 6.004386400163561587e-03 9.798336639212192056e-02 1.702157237341870299e-01 1.840486488676480459e-01
9.000000000000000000e+00 2.413310419633864657e-03 7.781932196505474131e-02 1.570743040116590883e-01 1.780864923055272553e-01
1.000000000000000000e+01 7.827011290012739772e-04 5.898720264385693551e-02 1.429612801212822581e-01 1.714688880374768687e-01
1.100000000000000000e+01 1.939854720578607170e-04 4.221146398240610553e-02 1.279755553837745308e-01 1.641443386800969240e-01
1.200000000000000000e+01 3.430262386641540104e-05 2.812959626919450673e-02 1.122883921238538862e-01 1.560658759850981347e-01
1.300000000000000000e+01 3.969248396342828805e-06 1.715880567081399036e-02 9.615885536439494619e-02 1.471953825724320875e-01
1.400000000000000000e+01 2.695148117366714539e-07 9.375613530553175701e-03 7.994445022732910022e-02 1.375095014478285860e-01
1.500000000000000000e+01 9.361039990685108956e-09 4.465400360833996808e-03 6.410074079736448327e-02 1.270074305999292774e-01
1.600000000000000000e+01 1.399027809397687911e-10 1.791218085699602166e-03 4.916186854634393283e-02 1.157207763470379236e-01
1.700000000000000000e+01 7.235975708536570941e-13 5.795061115338334158e-04 3.569389746093887261e-02 1.037253379723658414e-01
1.800000000000000000e+01 9.845002438797880099e-16 1.431808305569948648e-04 2.421725270958861517e-02 9.115411397881303945e-02
1.900000000000000000e+01 2.494516717859467587e-19 2.522042131471319835e-05 1.510563473049951304e-02 7.820984581684679859e-02
2.000000000000000000e+01 7.619853024160469615e-24 2.904081161641526262e-06 8.486430091198557055e-03 6.517398905176997881e-02
2.100000000000000000e+01 1.622961926538986753e-29 1.959800965181399431e-07 4.184668053188798746e-03 5.240724835907677182e-02
2.200000000000000000e+01 1.209743769968154773e-36 6.754507762971490038e-09 1.753102820237903729e-03 4.033525919272078208e-02
2.300000000000000000e+01 1.324919193482962970e-45 9.996982631475379841e-11 5.988851943805267126e-04 2.941283882431039443e-02
2.400000000000000000e+01 7.149524665981230640e-57 5.107641846585523328e-13 1.584190307117543225e-04 2.006339205638730736e-02
2.500000000000000000e+01 4.803529862225947607e-71 6.842968021971078627e-16 3.040092400930921861e-05 1.259855947634893128e-02
2.600000000000000000e+01 7.111353142372068729e-89 1.700546883340813416e-19 3.898530824322719587e-06 7.137099410956549220e-03
2.700000000000000000e+01 2.621940503261210089e-111 5.069227327990903218e-24 3.012237397149482217e-07 3.556066428819999563e-03
2.800000000000000000e+01 1.547312199175679324e-139 1.047010733180093892e-29 1.230855572481330267e-08 1.509243124672191580e-03
2.900000000000000000e+01 4.615092938953258534e-175 7.508054801781458939e-37 2.256846862284127109e-10 5.240390866824254671e-04
3.000000000000000000e+01 8.979163924003121694e-220 7.831828439109541733e-46 1.509756808288803911e-12 1.414791089375233275e-04
3.100000000000000000e+01 4.768546707222628202e-276 3.974772921652759440e-57 2.839547059164236481e-15 2.785485857901225286e-05
3.200000000000000000e+01 0.000000000000000000e+00 2.472066089463355656e-71 1.081481711828036759e-18 3.688908456188073210e-06
3.300000000000000000e+01 0.000000000000000000e+00 3.320728873826082404e-89 5.517974963800586174e-23 2.968002213808151258e-07
3.400000000000000000e+01 0.000000000000000000e+00 1.083314299329397236e-111 2.241851328814233278e-28 1.276114366429189879e-08
3.500000000000000000e+01 0.000000000000000000e+00 5.480226888485925560e-140 3.767536357151247673e-35 2.494578272616955470e-10
3.600000000000000000e+01 0.000000000000000000e+00 1.346372420340067317e-175 1.148208971658667832e-43 1.808837686473974612e-12
3.700000000000000000e+01 0.000000000000000000e+00 2.051984974251634896e-220 2.247229273008027455e-54 3.765192207135745004e-15
3.800000000000000000e+01 0.000000000000000000e+00 8.013455531671758899e-277 7.644302839412953869e-68 1.629279732289136613e-18
3.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.720019655823128272e-85 9.762013403802710058e-23
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.203210649167957823e-106 4.855236813499573665e-28
