SNR M=2 M=4 M=8 M=16 M=32 M=64
0.000000000000000000e+00 7.864960352514258068e-02 3.953169426491535687e-01 6.629181332229718837e-01 8.232078436042176151e-01 9.096121922629115675e-01 9.543181637950949314e-01
1.000000000000000000e+00 5.628195197654146942e-02 3.584517068936329265e-01 6.380023246625607936e-01 8.093917768894850484e-01 9.024130658126706672e-01 9.506528069395244751e-01
2.000000000000000000e+00 3.750612835892597891e-02 3.194305975368360029e-01 6.104319997228406791e-01 7.939430181268946063e-01 8.943424222186624473e-01 9.465410879827175217e-01
3.000000000000000000e+00 2.287840756108532048e-02 2.787454276004466269e-01 5.800338475020951901e-01 7.766839723873903978e-01 8.852967611157565031e-01 9.419289048620866911e-01
4.000000000000000000e+00 1.250081804073755083e-02 2.371220767437333121e-01 5.466691757302873933e-01 7.574240707727841748e-01 8.751611177738295444e-01 9.367557033142213108e-01
5.000000000000000000e+00 5.953867147778662411e-03 1.955426521691354391e-01 5.102565134253124191e-01 7.359616026943380795e-01 8.638081389724240333e-01 9.309537509761439678e-01
6.000000000000000000e+00 2.388290780932807080e-03 1.552346143613999863e-01 4.708013288208350300e-01 7.120870502289029513e-01 8.510972375562474435e-01 9.244473480972370538e-01
7.000000000000000000e+00 7.726748153784445544e-04 1.176054403908551593e-01 4.284334481242220161e-01 6.855885379187820483e-01 8.368739108543270522e-01 9.171519774065624020e-01
8.000000000000000000e+00 1.909077740759931440e-04 8.410347880238959462e-02 3.834515658110568825e-01 6.562601929152956926e-01 8.209693471213079796e-01 9.089734001463054547e-01
9.000000000000000000e+00 3.362722841961750519e-05 5.600056914771137095e-02 3.363719581133920999e-01 6.239144089759250944e-01 8.032004977121117717e-01 8.998067119414799864e-01
1.000000000000000000e+01 3.872108215522035298e-06 3.412519792226879206e-02 2.879747377312821821e-01 5.883991922140868747e-01 7.833708651925399558e-01 8.895353819258329242e-01
1.100000000000000000e+01 2.613067953575199241e-07 1.862252003116512608e-02 2.393355321143637582e-01 5.496218711927705058e-01 7.612723539125970662e-01 8.780303126113286893e-01
1.200000000000000000e+01 9.006010350628753749e-09 8.855498802982907439e-03 1.918238803120496661e-01 5.075803579279315469e-01 7.366886544822459637e-01 8.651489780331914625e-01
1.300000000000000000e+01 1.332931017530050646e-10 3.545215276640966209e-03 1.470440636645652943e-01 4.624026463230992423e-01 7.094007901894973100e-01 8.507347259339581580e-01
1.400000000000000000e+01 6.810189128780772155e-13 1.144132825642810592e-03 1.066942053359540843e-01 4.143940207176102786e-01 6.791956401066441273e-01 8.346163690498279442e-01
1.500000000000000000e+01 9.123957362628104836e-16 2.818082859121244705e-04 7.233266957510584017e-02 3.640891044271626353e-01 6.458784586475782019e-01 8.166082445781854826e-01
1.600000000000000000e+01 2.267395844454418049e-19 4.944547648775255940e-05 4.507436623986219026e-02 3.123019621637889154e-01 6.092906032068984290e-01 7.965109940516539311e-01
1.700000000000000000e+01 6.758969770654687010e-24 5.665698285607028117e-06 2.529262090861087581e-02 2.601617487545663243e-01 5.693337940662202001e-01 7.741134130870942487e-01
1.800000000000000000e+01 1.396014310906752619e-29 3.799961584033066919e-07 1.245312521942146602e-02 2.091143760439485022e-01 5.260021412803448371e-01 7.491958466670642913e-01
1.900000000000000000e+01 1.001073973570861248e-36 1.299550819547597860e-08 5.207268251965856305e-03 1.608644834243616317e-01 4.794226749719861513e-01 7.215357639628072750e-01
2.000000000000000000e+01 1.044243791881272283e-45 1.904721442103142502e-10 1.774702254895572061e-03 1.172314501229067135e-01 4.299038921656113676e-01 6.909163357806109573e-01
2.100000000000000000e+01 5.299697228870345920e-57 9.612826504463425332e-13 4.680682248794967837e-04 7.990602081452673200e-02 3.779894589648070125e-01 6.571390458619118524e-01
2.200000000000000000e+01 3.296088119284474207e-71 1.268132532084830095e-15 8.949142788211981894e-05 5.012837163392717260e-02 3.245102207475726308e-01 6.200415631506936975e-01
2.300000000000000000e+01 4.427638498434776539e-89 3.090738459203606590e-19 1.142289916844310907e-05 2.836421868134304108e-02 2.706218209961749888e-01 5.795222195968013912e-01
2.400000000000000000e+01 1.444419065772612868e-111 8.990487071397997893e-24 8.774573432659968471e-07 1.411165184811714185e-02 2.178079964499942400e-01 5.355723540731959220e-01
2.500000000000000000e+01 7.306969184647900436e-140 1.800563824147396959e-29 3.559190238402909518e-08 5.978131691262680153e-03 1.678231326779109078e-01 4.883172897982660521e-01
2.600000000000000000e+01 1.795163227120089849e-175 1.242041632658199342e-36 6.465908133550276355e-10 2.070931718789297427e-03 1.225467896318407357e-01 4.380654917895959177e-01
2.700000000000000000e+01 2.735979965668846528e-220 1.233847202083450439e-45 4.275432721105019396e-12 5.574873940689536404e-04 8.373555900303636390e-02 3.853630716649810162e-01
2.800000000000000000e+01 1.068460737556355705e-276 5.888554103890289942e-57 7.924302663301964395e-15 1.093610558295536795e-04 5.269219249509984188e-02 3.310468002374230556e-01
2.900000000000000000e+01 0.000000000000000000e+00 3.389543623721777400e-71 2.962952321215017717e-18 1.441694659827026178e-05 2.992902482764054489e-02 2.762828857520452930e-01
