SNRdB M2 M4 M8 M16 M32 M64
0.000000000000000000e+00 7.864960352514258068e-02 3.173105078629141484e-01 5.883724252373029318e-01 7.826253506778608759e-01 8.897526752367844738e-01 9.446774609276351597e-01
1.000000000000000000e+00 5.628195197654146942e-02 2.618545935110491163e-01 5.436969507614940467e-01 7.568923877608064732e-01 8.764026995372937723e-01 9.379399782484576509e-01
2.000000000000000000e+00 3.750612835892597891e-02 2.080572741707773510e-01 4.956655367819440272e-01 7.283383525755612320e-01 8.614657122812785506e-01 9.303857074552168704e-01
3.000000000000000000e+00 2.287840756108532048e-02 1.577917439634488606e-01 4.445932778812056174e-01 6.967449134000944788e-01 8.447651791806822796e-01 9.219171695568342262e-01
4.000000000000000000e+00 1.250081804073755083e-02 1.129906034987233354e-01 3.910371437485375967e-01 6.619147893711607722e-01 8.261099390459600844e-01 9.124258877640267773e-01
5.000000000000000000e+00 5.953867147778662411e-03 7.535797629492685390e-02 3.358497773477711057e-01 6.236908625391981431e-01 8.052951596508799437e-01 9.017914117697469756e-01
6.000000000000000000e+00 2.388290780932807080e-03 4.601427775573205259e-02 2.802186983082806115e-01 5.819822133160820199e-01 7.821044558983027972e-01 8.898803712645655395e-01
7.000000000000000000e+00 7.726748153784445544e-04 2.517406624428926779e-02 2.256704560667132098e-01 5.367983158851373782e-01 7.563136795996504569e-01 8.765456212791087331e-01
8.000000000000000000e+00 1.909077740759931440e-04 1.200877280032712838e-02 1.740125423793708048e-01 4.882920381784283670e-01 7.276970568929697070e-01 8.616255722816531515e-01
9.000000000000000000e+00 3.362722841961750519e-05 4.826620839267733651e-03 1.271848235219456280e-01 4.368106984226026723e-01 6.960365461178561475e-01 8.449438401027864476e-01
1.000000000000000000e+01 3.872108215522035298e-06 1.565402258002552508e-03 8.700502129401142815e-02 3.829517854931353549e-01 6.611355013053832330e-01 8.263094085502629138e-01
1.100000000000000000e+01 2.613067953575199241e-07 3.879709441157220846e-04 5.482806781459753642e-02 3.276155865414244195e-01 6.228379175259542988e-01 8.055175756186453428e-01
1.200000000000000000e+01 9.006010350628753749e-09 6.860524773283080207e-05 3.119781088678641109e-02 2.720406816001822436e-01 5.810546285502071751e-01 7.823520575791784726e-01
1.300000000000000000e+01 1.332931017530050646e-10 7.938496792685688103e-06 1.563036051900626097e-02 2.178007246588083978e-01 5.357976865518914167e-01 7.565887587433552941e-01
1.400000000000000000e+01 6.810189128780772155e-13 5.390296234733449194e-07 6.679677130042170792e-03 1.667346438679717657e-01 4.872235485505174157e-01 7.280018810733981383e-01
1.500000000000000000e+01 9.123957362628104836e-16 1.872207998137028409e-08 2.339450237094919081e-03 1.207828111533980342e-01 4.356842800064598675e-01 6.963732443474407452e-01
1.600000000000000000e+01 2.267395844454418049e-19 2.798055618795375822e-10 6.384841935268354340e-04 8.171734495124567677e-02 3.817833091596505302e-01 6.615058999049301391e-01
1.700000000000000000e+01 6.758969770654687010e-24 1.447195141707330142e-12 1.274291229816088672e-04 5.079376613825203890e-02 3.264278613316181632e-01 6.232433125940548546e-01
1.800000000000000000e+01 1.396014310906752619e-29 1.969000487759596530e-15 1.716684685986078236e-05 2.841225640105933190e-02 2.708638803559995090e-01 5.814954813002286560e-01
1.900000000000000000e+01 1.001073973570861248e-36 4.989033435718935175e-19 1.411206952418170587e-06 1.393417694220448755e-02 2.166716959598785630e-01 5.362732310597584373e-01
2.000000000000000000e+01 1.044243791881272283e-45 1.523970604832116551e-23 6.233826750537541964e-08 5.797963624307003391e-03 1.656944831973157228e-01 4.877313109586369766e-01
2.100000000000000000e+01 5.299697228870345920e-57 3.245923853078020590e-29 1.260752892940588475e-09 1.963873461076656550e-03 1.198722046867553431e-01 4.362195280571941058e-01
2.200000000000000000e+01 3.296088119284474207e-71 2.419487539936378370e-36 9.541463677553909760e-12 5.139712669072635460e-04 8.096976646579623349e-02 3.823384860178370426e-01
2.300000000000000000e+01 4.427638498434776539e-89 2.649838386966038266e-45 2.095989524227809434e-14 9.731835617374848659e-05 5.022771776065324684e-02 3.269921120409744475e-01
2.400000000000000000e+01 1.444419065772612868e-111 1.429904933196246128e-56 9.705842677819791015e-18 1.227134131329697142e-05 2.802515459537639753e-02 2.714228518185181072e-01
2.500000000000000000e+01 7.306969184647900436e-140 9.607059724451895215e-71 6.333285148292320581e-22 9.282857636678414254e-07 1.370130302760258316e-02 2.172078675953040827e-01
2.600000000000000000e+01 1.795163227120089849e-175 1.422270628474495228e-88 3.507046530335598158e-27 3.693436147833521280e-08 5.678750317128188063e-03 1.661883261914125498e-01
2.700000000000000000e+01 2.735979965668846528e-220 5.243881006522717110e-111 8.703406709467662623e-34 6.548938171825763642e-10 1.914066663330311977e-03 1.203044001403836272e-01
2.800000000000000000e+01 1.068460737556355705e-276 3.094624398351711801e-139 4.332884073336406595e-42 4.200112219828382835e-12 4.978586766765939926e-04 8.132444197682975329e-02
2.900000000000000000e+01 0.000000000000000000e+00 9.230185877906517068e-175 1.572912430271914521e-52 7.491226956108468497e-15 9.354096129833461043e-05 5.049613319424858804e-02
3.000000000000000000e+01 0.000000000000000000e+00 1.795832784800930356e-219 1.164556914470163224e-65 2.668767505474702464e-18 1.168092252362289184e-05 2.820859771214898407e-02
3.100000000000000000e+01 0.000000000000000000e+00 9.537093414445256404e-276 3.536370978526765290e-82 1.251848717394165661e-22 8.728890145022634324e-07 1.381157044814694534e-02
3.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.847028684356072261e-103 4.575175153615424317e-28 3.420048835515320404e-08 5.735141382222720512e-03
3.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.142456724122946371e-129 6.729570601872643386e-35 5.948042746988918553e-10 1.937596485393450240e-03
3.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.124161483970609579e-162 1.734196217339163802e-43 3.723023290681443570e-12 5.054583524878616778e-04
3.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.968976956509246003e-203 2.747962899433114583e-54 6.440018439610713272e-15 9.531899077650021485e-05
3.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.473173505029387297e-255 7.165430135687599672e-68 2.207515094620348831e-18 1.195812211587821030e-05
3.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.848828180720499462e-85 9.864422111491107528e-23 8.988135110616799503e-07
3.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.849886677442079768e-106 3.391566325335417001e-28 3.547466014908931555e-08
3.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.633743850651573245e-133 4.619405083314025140e-35 6.226656648599461265e-10
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.469351541307669071e-167 1.080582765270503168e-43 3.942789619739221969e-12
