SNRdB M4 M16 M64 M256
0.000000000000000000e+00 3.173105078629141484e-01 9.820812690278654111e-01 1.447703856484744867e+00 1.713049989492860803e+00
1.000000000000000000e+00 2.618545935110490053e-01 9.237314121452382398e-01 1.411509463729999858e+00 1.693381166920014502e+00
2.000000000000000000e+00 2.080572741707773510e-01 8.601435827443293380e-01 1.371179824029310490e+00 1.671350232227036381e+00
3.000000000000000000e+00 1.577917439634488606e-01 7.913685157687979643e-01 1.326323223752670533e+00 1.646684473546494720e+00
4.000000000000000000e+00 1.129906034987233354e-01 7.176861323030158113e-01 1.276544336968153726e+00 1.619084220816154218e+00
5.000000000000000000e+00 7.535797629492678451e-02 6.396840550728610797e-01 1.221460223127538658e+00 1.588222100498566158e+00
6.000000000000000000e+00 4.601427775573203177e-02 5.583414524501670861e-01 1.160723738387752890e+00 1.553743201145791231e+00
7.000000000000000000e+00 2.517406624428924350e-02 4.751049564287938565e-01 1.094056577380739803e+00 1.515266637813685646e+00
8.000000000000000000e+00 1.200877280032712317e-02 3.919334655684876823e-01 1.021294342405122180e+00 1.472389190941184367e+00
9.000000000000000000e+00 4.826620839267729314e-03 3.112772878602189652e-01 9.424458240699544742e-01 1.424691938444218042e+00
1.000000000000000000e+01 1.565402258002547954e-03 2.359488105754277421e-01 8.577676807276936044e-01 1.371751104299814950e+00
1.100000000000000000e+01 3.879709441157214340e-04 1.688458559296244221e-01 7.678533323026471846e-01 1.313154709440775392e+00
1.200000000000000000e+01 6.860524773283080207e-05 1.125183850767780269e-01 6.737303527431233174e-01 1.248527007880785078e+00
1.300000000000000000e+01 7.938496792685657610e-06 6.863522268325596143e-02 5.769531321863696771e-01 1.177563060579456700e+00
1.400000000000000000e+01 5.390296234733429077e-07 3.750245412221270280e-02 4.796667013639746013e-01 1.100076011582628688e+00
1.500000000000000000e+01 1.872207998137021791e-08 1.786160144333598723e-02 3.846044447841869274e-01 1.016059444799434219e+00
1.600000000000000000e+01 2.798055618795375822e-10 7.164872342798408664e-03 2.949712112780635831e-01 9.257662107763033887e-01
1.700000000000000000e+01 1.447195141707314188e-12 2.318024446135333663e-03 2.141633847656332357e-01 8.298027037789267313e-01
1.800000000000000000e+01 1.969000487759576020e-15 5.727233222279794591e-04 1.453035162575316841e-01 7.292329118305043156e-01
1.900000000000000000e+01 4.989033435718935175e-19 1.008816852588527934e-04 9.063380838299707476e-02 6.256787665347743888e-01
2.000000000000000000e+01 1.523970604832093923e-23 1.161632464656610505e-05 5.091858054719133886e-02 5.213919124141598305e-01
2.100000000000000000e+01 3.245923853077973506e-29 7.839203860725597722e-07 2.510800831913279421e-02 4.192579868726141745e-01
2.200000000000000000e+01 2.419487539936309547e-36 2.701803105188596015e-08 1.051861692142742194e-02 3.226820735417662567e-01
2.300000000000000000e+01 2.649838386965925941e-45 3.998793052590151937e-10 3.593311166283160059e-03 2.353027105944831554e-01
2.400000000000000000e+01 1.429904933196246128e-56 2.043056738634209331e-12 9.505141842705259895e-04 1.605071364510984588e-01
2.500000000000000000e+01 9.607059724451895215e-71 2.737187208788431451e-15 1.824055440558553117e-04 1.007884758107914502e-01
2.600000000000000000e+01 1.422270628474413746e-88 6.802187533363253664e-19 2.339118494593631922e-05 5.709679528765239376e-02
2.700000000000000000e+01 5.243881006522420177e-111 2.027690931196361287e-23 1.807342438289689330e-06 2.844853143055999650e-02
2.800000000000000000e+01 3.094624398351358649e-139 4.188042932720375567e-29 7.385133434887981933e-08 1.207394499737753264e-02
2.900000000000000000e+01 9.230185877906517068e-175 3.003221920712583576e-36 1.354108117370476265e-09 4.192312693459403737e-03
3.000000000000000000e+01 1.795832784800624339e-219 3.132731375643816693e-45 9.058540849732823871e-12 1.131832871500186620e-03
3.100000000000000000e+01 9.537093414445256404e-276 1.589909168661103776e-56 1.703728235498541889e-14 2.228388686320980229e-04
3.200000000000000000e+01 0.000000000000000000e+00 9.888264357853422622e-71 6.488890270968220170e-18 2.951126764950458568e-05
3.300000000000000000e+01 0.000000000000000000e+00 1.328291549530432962e-88 3.310784978280351704e-22 2.374401771046521007e-06
3.400000000000000000e+01 0.000000000000000000e+00 4.333257197317588943e-111 1.345110797288539877e-27 1.020891493143351903e-07
3.500000000000000000e+01 0.000000000000000000e+00 2.192090755394370224e-139 2.260521814290748711e-34 1.995662618093564376e-09
3.600000000000000000e+01 0.000000000000000000e+00 5.385489681360269266e-175 6.889253829952006994e-43 1.447070149179179690e-11
3.700000000000000000e+01 0.000000000000000000e+00 8.207939897006539585e-220 1.348337563804816473e-53 3.012153765708596003e-14
3.800000000000000000e+01 0.000000000000000000e+00 3.205382212668703560e-276 4.586581703647772321e-67 1.303423785831309291e-17
3.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.232011793493876735e-84 7.809610723042168046e-22
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.521926389500774694e-105 3.884189450799658932e-27
